Sector_ID,Case_count_2007,Case_count_2008,Case_count_2009,Case_count_2010,Case_count_2011,Case_count_2012,Case_count_2013,Case_count_2014,Case_count_2015,Case_count_2016,Case_count_2017,Case_count_2018,Case_count_2019,Case_count_2020
CO193,0,0,0,0,0,0,1,0,8,28,0,0,0,18
CO194,0,0,0,0,0,0,1,3,4,9,0,0,4,9
CO195,0,0,0,0,0,0,0,3,2,11,0,0,2,7
CO196,0,0,0,0,0,0,3,0,4,10,4,60,10,0
CO197,0,0,0,0,0,4,1,1,14,5,0,0,14,14
CO198,0,0,0,0,0,0,0,2,2,0,0,0,4,8
CO199,0,0,0,0,0,0,2,2,10,1,0,0,0,30
CO200,0,0,0,0,0,2,1,1,8,7,0,24,27,0
CO201,0,0,0,2,0,0,3,1,0,6,4,0,0,6
CO202,0,0,0,0,0,0,0,0,0,4,1,0,6,8
CO203,2,0,0,0,0,8,43,4,8,35,0,4,21,37
CO204,0,36,0,2,0,0,8,2,0,0,2,0,0,4
CO205,0,0,0,0,0,0,0,2,5,0,0,0,20,18
CO206,0,0,0,0,0,0,0,3,9,0,0,0,9,0
CO207,0,0,0,0,0,0,5,0,6,0,8,0,26,0
CO208,0,2,0,0,0,0,81,9,23,4,1,0,78,9
CO209,0,2,0,0,0,0,1,8,1,2,0,0,4,3
CO210,2,0,0,14,0,1,19,1,2,3,0,2,24,32
CO211,0,0,0,0,0,10,11,3,4,2,3,4,0,0
CO212,0,0,0,0,0,0,0,0,15,8,0,0,0,49
CO213,0,0,0,0,0,0,2,2,16,1,0,0,0,3
CO214,0,0,0,0,0,0,2,3,6,3,0,2,14,0
CO215,0,2,0,0,0,0,0,2,4,2,0,0,0,0
CO216,2,0,0,3,0,0,9,0,1,0,0,0,14,92
CO217,0,0,0,0,0,0,3,12,0,3,0,2,57,15
CO218,4,4,0,0,4,0,6,3,6,2,0,0,2,16
CO219,0,0,0,0,0,0,0,0,0,0,0,0,10,0
CO220,0,0,0,0,0,2,8,4,0,0,0,0,8,0
CO221,0,0,0,0,0,0,0,0,0,6,0,0,5,4
CO222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO223,0,0,0,0,0,0,0,1,0,0,0,0,0,10
CO224,0,0,0,0,0,0,21,0,0,9,0,0,13,9
CO225,0,2,8,0,0,0,11,3,7,30,0,0,68,16
CO226,0,0,11,3,4,2,17,0,0,42,0,8,34,15
CO227,0,0,0,0,0,0,8,6,0,0,0,0,0,0
CO228,0,0,0,0,0,0,3,5,2,0,0,0,2,0
CO229,0,0,0,0,0,0,6,0,2,2,0,0,9,9
CO230,0,0,0,0,0,0,0,5,0,0,0,0,0,31
CO231,0,0,0,0,0,2,1,4,0,23,0,0,7,16
CO232,0,0,0,0,0,0,0,0,4,41,0,0,2,24
CO233,0,2,0,0,0,0,2,6,2,28,0,0,63,15
CO234,0,0,0,0,0,0,0,0,0,0,0,0,0,4
CO235,0,0,0,2,0,0,4,16,0,2,0,0,100,12
CO236,4,0,0,2,0,0,18,0,2,0,0,0,48,12
CO237,0,0,0,0,0,8,13,3,3,28,0,0,60,0
